scenario,graph_mode,mae,rmse,best_val_loss,elapsed_min,epochs,window,n_features,n_nodes,n_edges,scenario_short,scenario_label
S4_transport_pm10_pollutants_pm10mask,climatological,3.1958584785461426,5.023252587600776,0.00020386062554512876,34.309718028704324,100,12,9,40,396,S4,"S4
(+Poll+PM10M)"
S4_transport_pm10_pollutants_pm10mask,soft_dynamic,2.815687417984009,4.036950863557825,0.00015241540313581936,47.95524666309357,100,12,9,40,706,S4,"S4
(+Poll+PM10M)"
S4_transport_pm10_pollutants_pm10mask,static,2.781022071838379,3.981692858727332,0.00014802057739871088,44.34795616865158,100,12,9,40,706,S4,"S4
(+Poll+PM10M)"
S5_transport_pm10_pollutants_allmask,climatological,3.3231446743011475,5.139057511779276,0.00020659712166423897,41.66566761732101,100,12,9,40,396,S5,"S5
(+Poll+AllM)"
S5_transport_pm10_pollutants_allmask,soft_dynamic,2.7532546520233154,3.952639583895271,0.000153921283548021,55.281253560384116,100,12,9,40,706,S5,"S5
(+Poll+AllM)"
S5_transport_pm10_pollutants_allmask,static,2.8082621097564697,4.011776991498481,0.0001496992337579709,53.370792949199675,100,12,9,40,706,S5,"S5
(+Poll+AllM)"
S6_transport_pm10_pollutants_summarymask,climatological,3.2247977256774902,5.148686080280238,0.0002092437983286123,43.34598686695099,100,12,9,40,396,S6,"S6
(+Poll+SumM)"
S6_transport_pm10_pollutants_summarymask,soft_dynamic,2.99442195892334,4.221766093082627,0.00016609011432000296,55.879384982585904,100,12,9,40,706,S6,"S6
(+Poll+SumM)"
S6_transport_pm10_pollutants_summarymask,static,2.7672033309936523,3.899692249382325,0.00014943154307074172,49.298584739367165,100,12,9,40,706,S6,"S6
(+Poll+SumM)"
S7_transport_pm10_weather,climatological,3.4080123901367188,5.225310810098648,0.00021302220273693905,34.338329728444414,100,12,10,40,396,S7,"S7
(+Weather)"
S7_transport_pm10_weather,soft_dynamic,2.965824604034424,4.113578010424934,0.00016008223420337957,43.72669377326965,100,12,10,40,706,S7,"S7
(+Weather)"
S7_transport_pm10_weather,static,2.6985316276550293,3.8028671641154803,0.00015262888404703157,31.81371676127116,100,12,10,40,706,S7,"S7
(+Weather)"
S8_transport_pm10_rain,climatological,3.246337652206421,5.121450544159294,0.00020653782506320397,34.21779426733653,100,12,8,40,396,S8,"S8
(+Rain)"
S8_transport_pm10_rain,soft_dynamic,2.7695603370666504,3.973383564044816,0.0001541566791359422,45.751434143384294,100,12,8,40,706,S8,"S8
(+Rain)"
S8_transport_pm10_rain,static,2.8459112644195557,4.019187682717274,0.00015165498612183256,43.446908696492514,100,12,8,40,706,S8,"S8
(+Rain)"
S9_transport_pm10_weather_rain,climatological,3.549572467803955,5.173896694052987,0.000211907675060671,32.92816372315089,100,12,13,40,396,S9,"S9
(+Weath+Rain)"
S9_transport_pm10_weather_rain,soft_dynamic,2.831242799758911,4.01825577468946,0.00015580015569021058,45.14145917892456,100,12,13,40,706,S9,"S9
(+Weath+Rain)"
S9_transport_pm10_weather_rain,static,2.7952678203582764,3.9183353089057573,0.0001427940249752367,42.6589978814125,100,12,13,40,706,S9,"S9
(+Weath+Rain)"
