CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사53504925,3,4.0,-0.5761794670187057,694.8917889623724,2
다사53504950,2,2.0,-0.31582879702336764,122.13223138731007,3
다사53505175,0,0.0,0.0,0.0,0
다사53505200,0,0.0,0.0,0.0,0
다사53505225,0,0.0,0.0,0.0,0
다사53505250,0,0.0,0.0,0.0,0
다사53505075,3,5.0,-0.594477818110293,1164.1722021068178,22
다사53505100,3,2.0,-0.042812490568411805,1442.2279289601106,10
다사53505125,0,0.0,0.0,0.0,0
다사53505150,3,2.0,-0.0036258075283108165,693.2775388077895,2
다사53504575,0,0.0,0.0,0.0,0
다사53504600,0,0.0,0.0,0.0,0
다사53504625,4,4.0,1.5723810338535507,1040.3783834038813,5
다사53504650,0,0.0,0.0,0.0,0
다사53504475,0,0.0,0.0,0.0,0
다사53504500,4,4.0,0.5277147536352278,153.4740397410357,1
다사53504525,0,0.0,0.0,0.0,0
다사53504550,0,0.0,0.0,0.0,0
다사53504775,0,0.0,0.0,0.0,0
다사53504800,0,0.0,0.0,0.0,0
다사53504825,3,2.0,-0.3144161513409233,843.9587051326747,11
다사53504850,3,2.0,-0.22500987505869072,549.2114985947727,9
다사53504675,0,0.0,0.0,0.0,0
다사53504700,0,0.0,0.0,0.0,0
다사53504725,0,0.0,0.0,0.0,0
다사53504750,0,0.0,0.0,0.0,0
다사53505775,0,0.0,0.0,0.0,0
다사53505800,0,0.0,0.0,0.0,0
다사53505825,0,0.0,0.0,0.0,0
다사53505850,0,0.0,0.0,0.0,0
다사53505675,0,0.0,0.0,0.0,0
다사53505700,0,0.0,0.0,0.0,0
다사53505725,0,0.0,0.0,0.0,0
다사53505750,0,0.0,0.0,0.0,0
다사53753975,0,0.0,0.0,0.0,0
다사53754000,0,0.0,0.0,0.0,0
다사53754025,0,0.0,0.0,0.0,0
다사53754050,0,0.0,0.0,0.0,0
다사53505875,0,0.0,0.0,0.0,0
다사53505900,0,0.0,0.0,0.0,0
다사53505925,0,0.0,0.0,0.0,0
다사53753950,0,0.0,0.0,0.0,0
다사53505375,0,0.0,0.0,0.0,0
다사53505400,0,0.0,0.0,0.0,0
다사53505425,0,0.0,0.0,0.0,0
다사53505450,0,0.0,0.0,0.0,0
다사53505275,3,3.0,-0.2733009393250942,241.32441034393102,6
다사53505300,0,0.0,0.0,0.0,0
다사53505325,0,0.0,0.0,0.0,0
다사53505350,0,0.0,0.0,0.0,0
다사53505575,0,0.0,0.0,0.0,0
다사53505600,0,0.0,0.0,0.0,0
다사53505625,0,0.0,0.0,0.0,0
다사53505650,0,0.0,0.0,0.0,0
다사53505475,0,0.0,0.0,0.0,0
다사53505500,0,0.0,0.0,0.0,0
다사53505525,0,0.0,0.0,0.0,0
다사53505550,0,0.0,0.0,0.0,0
다사53255375,0,2.0,0.2209607191663425,45.20167817007985,1
다사53255400,3,4.0,0.30265684582025154,596.8150710973559,2
다사53255425,0,0.0,0.0,0.0,0
다사53255450,0,0.0,0.0,0.0,0
다사53255275,3,3.0,0.0604587654928115,882.8803699787873,2
다사53255300,0,0.0,0.0,0.0,0
다사53255325,3,4.0,-0.15207308428478966,2036.0987798934843,2
다사53255350,0,0.0,0.0,0.0,0
다사53255575,4,3.0,-0.4182906427623951,5088.778661295412,1
다사53255600,0,0.0,0.0,0.0,0
다사53255625,3,4.0,-0.24641922135147928,3297.145682327453,2
다사53255650,0,0.0,0.0,0.0,0
다사53255475,0,0.0,0.0,0.0,0
다사53255500,0,0.0,0.0,0.0,0
다사53255525,0,0.0,0.0,0.0,0
다사53255550,0,0.0,0.0,0.0,0
다사53254975,3,2.0,-0.7522403481460823,85.26362359187908,2
다사53255000,3,4.0,-0.4988827105391745,3173.95023806082,3
다사53255025,0,0.0,0.0,0.0,0
다사53255050,0,0.0,0.0,0.0,0
다사53254875,3,2.0,-0.3899013088667742,571.735026785245,3
다사53254900,3,5.0,-0.47229979390421684,837.0219946799981,4
다사53254925,3,3.0,-0.45756593474578244,735.6186053363485,2
다사53254950,3,4.0,-0.47602790122074107,751.2347926797092,8
다사53255175,0,0.0,0.0,0.0,0
다사53255200,3,4.0,-0.15648264582289317,1971.9476767037786,2
다사53255225,0,0.0,0.0,0.0,0
