CELL_ID,lat,lon,pm10_mean
다사54004750,37.5279220382403,126.979387606717,19.925945
다사54004775,37.5301753515486,126.9793719453,20.243967
다사54004800,37.53242866398939,126.979356282139,19.56953
다사54004825,37.5346819755628,126.979340617233,20.183495
다사54004650,37.518908776333106,126.979450234946,20.239883
다사54004675,37.521162093111,126.97943458050399,20.081383
다사54004700,37.5234154090215,126.97941892431801,21.724403
다사54004725,37.5256687240646,126.97940326638901,20.6733
다사53754575,37.512136389382206,126.976668475937,24.075485
다사53754600,37.5143897077562,126.976652741686,21.20869
다사53754625,37.5166430252629,126.976637005683,22.15913
다사53754650,37.518896341902106,126.97662126792801,20.074188
다사53754475,37.503123107212794,126.97673139542101,20.21289
다사53754500,37.5053764290562,126.976715668178,23.583075
다사53754525,37.5076297500322,126.976699939182,24.253014
다사53754550,37.5098830701409,126.976684208436,24.214037
다사53754775,37.5301629120867,126.976542552858,20.28425
다사53754800,37.5324162235212,126.97652680458401,20.535433
다사53754825,37.5346695340882,126.97651105455601,20.183554
다사53754850,37.5369228437876,126.97649530277398,21.618717
다사53754675,37.521149657673895,126.97660552842,17.58522
다사53754700,37.523402972578296,126.97658978716001,20.17454
다사53754725,37.525656286615295,126.976574044146,20.153809
다사53754750,37.52790959978471,126.97655829937901,19.70413
다사53754175,37.47608317745029,126.97691998581301,20.725594
다사53754200,37.4783365096998,126.97690427957,20.353386
다사53754225,37.4805898410822,126.976888571578,20.786966
다사53754250,37.4828431715975,126.97687286183701,20.732798
다사53754075,37.467069839782,126.9769827933,18.493307
다사53754100,37.4693231754996,126.976967094051,18.76523
다사53754125,37.471576510350204,126.976951393053,19.988705
다사53754150,37.4738298443338,126.976935690307,20.443903
다사53754375,37.494109811166894,126.976794286887,18.718853
다사53754400,37.496363136479296,126.976778566647,18.509922
다사53754425,37.498616460924396,126.976762844656,19.456709
다사53754450,37.5008697845022,126.976747120914,19.90804
다사53754275,37.48509650124571,126.97685715034599,20.292051
다사53754300,37.4873498300268,126.976841437106,19.941061
다사53754325,37.4896031579407,126.97682572211599,20.695768
다사53754350,37.491856484987395,126.976810005377,20.473797
다사53755375,37.584242147041,126.97616410979099,19.14117
다사53755400,37.5864954376498,126.97614831936701,16.737572
다사53755425,37.5887487273907,126.97613252718399,17.53123
다사53755450,37.5910020162637,126.976116733242,17.817196
다사53755275,37.5752289759262,126.976227253903,19.529564
다사53755300,37.577482270006705,126.97621147051301,18.454922
다사53755325,37.5797355632194,126.976195685364,19.2578
다사53755350,37.581988855564106,126.97617989845699,18.289516
다사53755575,37.6022684476079,126.976037737139,15.604231
다사53755600,37.604521731272605,126.97602193263799,15.548585
다사53755625,37.6067750140691,126.97600612637699,15.74187
다사53755650,37.609028295997604,126.975990318355,16.603367
다사53755475,37.5932553042686,126.976100937541,17.213623
다사53755500,37.595508591405505,126.97608514008002,16.52707
다사53755525,37.5977618776744,126.97606934086001,16.209444
다사53755550,37.600015163075206,126.976053539879,16.296171
다사53754975,37.548189379271,126.97641651754499,20.05015
다사53755000,37.5504426837647,126.976400755234,20.851755
